time,v,bsoc,i
1282550,140687,1125,6702
1283050,140687,1126,6702
1283550,140688,1127,6707
1284050,140685,1128,6705
1284550,140685,1129,6699
1285050,140684,1130,6702
1285550,140682,1131,6705
1286050,140682,1132,6704
1286550,140684,1132,6704
1287050,140681,1133,6701
1287550,140682,1134,6703
1288050,140680,1135,6698
1288550,140681,1136,6702
1289050,140678,1137,6705
1289550,140680,1138,6703
1290050,140678,1139,6700
1290550,140677,1140,6699
1291050,140676,1141,6702
1291550,140674,1142,6701
1292050,140676,1143,6700
1292550,140674,1144,6700
1293050,140674,1145,6700
1293550,140673,1145,6703
1294050,140673,1146,6703
1294550,140673,1147,6700
1295050,140672,1148,6702
1295550,140671,1149,6698
1296050,140670,1150,6698
1296550,140671,1151,6697
1297050,140670,1152,6698
1297550,140670,1153,6695
1298050,140668,1154,6699
1298550,140666,1155,6700
1299050,140669,1156,6698
1299550,140667,1157,6698
1300050,140667,1158,6698
1300550,140665,1158,6701
1301050,140663,1159,6699
1301550,140663,1160,6699
1302050,140663,1161,6703
1302550,140663,1162,6707
1303050,140662,1163,6700
1303550,140661,1164,6701
1304050,140660,1165,6698
1304550,140661,1166,6699
1305050,140658,1167,6696
1305550,140657,1168,6698
1306050,140654,1169,6698
